countryname,yr,gdp,forest_area,lag_pop,lag_forest_area,lag_x_6798_7246,lag_x_237_5910,lag_x_257_5910,lag_x_1603_5516,lag_x_1604_5516,lag_x_1626_5516,lag_x_1633_5516,lag_x_1634_5516,Country.Code,IncomeGroup,Sub.Regions,delta_forest_area,forest_change,abs_forest_change
Afghanistan,1991,4276162444,13500,12412308,13500,2.6832,0,0,0,36000,488000,20000,0,AFG,Low income,Southern Asia,0,0,0
Afghanistan,1992,4275361772,13500,13299017,13500,2.6832,0,0,0,36000,512000,20000,0,AFG,Low income,Southern Asia,0,0,0
Afghanistan,1993,4274408591,13500,14485546,13500,2.6832,0,0,0,36000,545000,20000,0,AFG,Low income,Southern Asia,0,0,0
Afghanistan,1994,4273254740,13500,15816603,13500,2.6832,0,0,0,36000,583000,20000,0,AFG,Low income,Southern Asia,0,0,0
Afghanistan,1995,4271829395,13500,17075727,13500,2.6832,0,0,0,36000,619000,20000,0,AFG,Low income,Southern Asia,0,0,0
Afghanistan,1996,4270023957,13500,18110657,13500,2.6832,0,0,0,36000,650000,20000,0,AFG,Low income,Southern Asia,0,0,0
Afghanistan,1997,4267663001,13500,18853437,13500,19.9359,0,0,0,36000,674000,20000,0,AFG,Low income,Southern Asia,0,0,0
Afghanistan,1998,4264443515,13500,19357126,13500,11.7935,0,0,0,36000,691000,20000,0,AFG,Low income,Southern Asia,0,0,0
Afghanistan,1999,4259793147,13500,19737765,13500,32.2913,0,0,0,36000,706000,20000,0,AFG,Low income,Southern Asia,0,0,0
Afghanistan,2000,4501240252,13500,20170844,13500,8.8616,0,0,0,36000,725000,20000,0,AFG,Low income,Southern Asia,0,0,0
Afghanistan,2001,4738673821,13500,20779953,13500,70.383,0,0,0,36000,725000,20000,0,AFG,Low income,Southern Asia,0,0,0
Afghanistan,2002,4055176933,13500,21606988,13500,0,0,0,0,36000,725000,20000,0,AFG,Low income,Southern Asia,0,0,0
Afghanistan,2003,4515563414,13500,22600770,13500,0,0,0,0,36000,725000,20000,0,AFG,Low income,Southern Asia,0,0,0
Afghanistan,2004,5226775163,13500,23680871,13500,0,0,0,0,36000,725000,20000,0,AFG,Low income,Southern Asia,0,0,0
Afghanistan,2005,6209140044,13500,24726684,13500,0,0,0,0,36000,725000,20000,0,AFG,Low income,Southern Asia,0,0,0
Afghanistan,2006,6971286732,13500,25654277,13500,0,0,0,0,36000,725000,20000,0,AFG,Low income,Southern Asia,0,0,0
Afghanistan,2007,9747886105,13500,26433049,13500,21.4659,0,0,0,36000,725000,20000,0,AFG,Low income,Southern Asia,0,0,0
Afghanistan,2008,10109218068,13500,27100536,13500,0,0,0,0,36000,725000,20000,0,AFG,Low income,Southern Asia,0,0,0
Afghanistan,2009,12439087077,13500,27722276,13500,0,0,0,0,36000,725000,20000,0,AFG,Low income,Southern Asia,0,0,0
Afghanistan,2010,15856574731,13500,28394813,13500,21.4659,0,0,0,36000,725000,20000,0,AFG,Low income,Southern Asia,0,0,0
Afghanistan,2011,17804280538,13500,29185507,13500,0,0,0,0,36000,725000,20000,0,AFG,Low income,Southern Asia,0,0,0
Afghanistan,2012,20001615789,13500,30117413,13500,0,0,0,0,36000,725000,20000,0,AFG,Low income,Southern Asia,0,0,0
Afghanistan,2013,20561054090,13500,31161376,13500,0,0,0,0,36000,725000,20000,0,AFG,Low income,Southern Asia,0,0,0
Afghanistan,2014,20484873230,13500,32269589,13500,0,0,0,0,36000,725000,20000,0,AFG,Low income,Southern Asia,0,0,0
Afghanistan,2015,19907111419,13500,33370794,13500,0,0,0,0,36000,725000,20000,0,AFG,Low income,Southern Asia,0,0,0
Afghanistan,2016,19362642267,13500,34413603,13500,0,0,0,0,36000,725000,20000,0,AFG,Low income,Southern Asia,0,0,0
Afghanistan,2017,19719402329,13498.45476,35540812.43,13500,0,0,0,0,36000,725000,20000,0,AFG,Low income,Southern Asia,-0.000114462,-1.545237,1.545237
Afghanistan,2018,20082735758,13485.42566,36704943.33,13498.45476,0,0,0,0,36000,725000,20000,0,AFG,Low income,Southern Asia,-0.000965229,-13.02909999,13.02909999
Afghanistan,2019,20452763669,13472.23402,37907205.07,13485.42566,0,0,0,0,36000,725000,20000,0,AFG,Low income,Southern Asia,-0.000978215,-13.19164566,13.19164566
Afghanistan,2020,20621313314,13459.66081,38365869.68,13472.23402,0,0,0,0,30600,616250,17000,0,AFG,Low income,Southern Asia,-0.000933268,-12.5732049,12.5732049
Afghanistan,2021,21001264611,13446.84058,40026846.25,13459.66081,0,0,0,0,32400,652500,18000,0,AFG,Low income,Southern Asia,-0.000952493,-12.82023271,12.82023271
Albania,1991,1099559028,7868.499756,3286542,7887.999878,2351.8542,12.93103448,0,2613.157895,225000,6321.052632,296000,10000,ALB,Upper middle income,Southern Europe,-0.002472125,-19.500122,19.500122
Albania,1992,652174990.8,7849.000244,3266790,7868.499756,2351.8542,12.96296296,0,2616.764706,433000,6287.647059,296000,10000,ALB,Upper middle income,Southern Europe,-0.002478174,-19.499512,19.499512
Albania,1993,1185315468,7829.500122,3247039,7849.000244,2351.8542,13,0,2621.333333,433000,6245.333333,296000,10000,ALB,Upper middle income,Southern Europe,-0.002484408,-19.500122,19.500122
Albania,1994,1880951520,7810,3227287,7829.500122,2351.8542,13.04347826,0,2627.307692,37000,6190,2500,10000,ALB,Upper middle income,Southern Europe,-0.002490596,-19.500122,19.500122
